deck,qty,name,type,cost_memory_initial_or_cost,base_value_or_dash,depth,cas_de_base,remontee,terminaison
Commun,2,Routine Sentinelle,Fonction,2,1,Empiler jusqu'à 2,Regarde la carte du dessus de ton deck. Tu peux la laisser ou la mettre dessous.,Gagne 1 mémoire libre.,Pioche F(R) carte(s).
Commun,2,Fonction Factorielle,Fonction,3,2,Empiler jusqu'à 4,Pioche 1 carte.,Gagne 1 mémoire libre.,Gagne F(R) mémoire libre jusqu'à la fin du tour.
Commun,2,Vérification de Bornes,Fonction,2,1,Empiler jusqu'à 3,Retire 1 cadre parasite de cette fonction.,Tu peux regarder le sommet d'une autre de tes fonctions.,Retire jusqu'à F(R) cadres parasites répartis comme tu veux parmi tes fonctions.
Commun,2,Collecte Incrémentale,Commande,2,-,-,Nettoie une de tes fonctions cassées.,-,Pioche 1 carte.
Commun,1,Débogueur pas à pas,Interrupt,2,-,-,"Quand une de tes fonctions devrait casser, annule cette casse.",Dépile à la place le cadre du sommet de cette fonction sans appliquer son effet.,"Si c'était un cadre récursif normal, libère la mémoire correspondante."
Commun,1,Cache L1,Hardware,2,-,-,Le premier Dépiler que tu effectues à chacun de tes tours coûte 0 Cycle CPU.,-,-
Commun,1,Barrette RAM,Hardware,3,-,-,"Quand cette carte entre en jeu, gagne +4 mémoire totale et +4 mémoire libre.",-,-
Commun,1,Planificateur local,Hardware,2,-,-,Le premier Empiler que tu effectues à chacun de tes tours coûte 0 Cycle CPU.,-,-
Cyan,2,Archiviste du Cache,Fonction,2,1,Empiler jusqu'à 3,"Regarde les 2 cartes du dessus de ton deck, puis remets-les dans l'ordre de ton choix.",Gagne 1 mémoire libre.,"Pioche F(R) carte(s), puis défausse 1 carte."
Cyan,2,Recherche Dichotomique,Fonction,2,2,Empiler 3,Révèle les 3 cartes du dessus de ton deck ; mets-en 1 dans ta main et le reste dessous dans l'ordre de ton choix.,Retire 1 cadre parasite d'une de tes fonctions.,Révèle les F(R)+1 cartes du dessus de ton deck ; mets-en 1 dans ta main et le reste dessous dans l'ordre de ton choix.
Cyan,2,Tri Fusion Tempéré,Fonction,3,2,Empiler jusqu'à 4,Pioche 1 carte.,Tu peux réordonner les 2 cartes du dessus de ton deck.,Retire jusqu'à F(R) cadres parasites répartis comme tu veux parmi tes fonctions.
Cyan,2,Compactage Mémoire,Fonction,3,2,Empiler jusqu'à 3,Gagne 1 mémoire libre.,Retire 1 cadre parasite de cette fonction.,"Nettoie une de tes fonctions cassées. Si F(R) ≥ 2, pioche 1 carte."
Cyan,1,Inspecteur de Pile,Fonction,2,1,Empiler jusqu'à 2,Regarde le sommet d'une pile de ton choix.,Tu peux déplacer le cadre parasite du sommet d'une de tes fonctions vers une autre de tes fonctions.,Répare une de tes fonctions cassées.
Cyan,1,Nettoyeur Générationnel,Fonction,4,3,Empiler jusqu'à 5,Nettoie une de tes fonctions cassées.,Gagne 1 mémoire libre.,Pioche F(R) carte(s).
